η₀,m=0,m=1,m=1.5,m=2,m=2.5
1.14,0.5579046000000001,1.6749018,2.1867219,2.6717526,3.2050532
1.15,0.5637951,1.7051166,2.2288167,2.7802876,3.2708951
1.16,0.5696955,1.7707016999999998,2.2713966,2.7793557,3.3375551
1.17,0.5755958999999999,1.8021733,2.3612184,2.8341225000000003,3.3376167
1.18,0.5932436999999999,1.797642,2.3580216,2.8895526,3.4733698
1.19,0.5992734,1.829124,2.4505933,3.0051439,3.5425346
1.2,0.6053031,1.8985172000000001,2.4466068,3.0023828999999997,3.5410022999999997
1.21,0.6113328,1.9312816000000002,2.4916419,3.1215969,3.6104508
1.22,0.6051474,1.9254807,2.5884179,3.1808435,3.680721
1.23,0.6110774999999999,1.9582397999999999,2.5831971,3.2407768999999997,3.8276273
1.24,0.6169977,1.9913355,2.6828428000000004,3.301387,3.8237859000000003
1.25,0.6229278,2.0247479999999998,2.7308279,3.3626940000000003,3.9753095000000003
1.26,0.6288678,2.0584871999999996,2.7793281,3.4246878,3.9702266999999996
1.27,0.6476322,2.1348269,2.7723267000000003,3.4873785,4.0447242
1.28,0.6407478,2.1269556,2.8208763,3.4804539,4.120082999999999
1.29,0.6466878,2.2053451,2.8699407,3.5432694000000002,4.2810668
1.3,0.6658223,2.2411193,2.9195199,3.6796420999999997,4.2733647
1.31,0.6585876,2.2321332,2.969604,3.7451406,4.4392126
1.32,0.6645474,2.2678524,3.0202128,3.8113562,4.4301113999999995
1.33,0.6705072,2.3504619,3.1333836,3.8014812,4.6009136
1.34,0.690133,2.3403105,3.1860752999999997,3.8677715999999998,4.6830973
1.35,0.6824268,2.3770494,3.1751577,4.0142652,4.671810000000001
1.36,0.7023035000000001,2.414115,3.2278554,4.0833492,4.754148300000001
1.37,0.6943662,2.5010529,3.2810778000000003,4.0709097,4.837367700000001
1.38,0.7003359,2.5395642,3.4021951,4.1400414,5.020912
1.39,0.7063155,2.5784290000000003,3.3891165,4.2098958,5.006499300000001
1.4,0.7122951,2.5658127,3.4439328,4.366937,5.0924115
1.41,0.7327853,2.604591,3.5699763,4.4396671,5.2838655
1.42,0.7242642,2.6437158,3.6270009,4.4237655,5.3733616
1.43,0.7302438,2.7373929,3.6845708999999998,4.4965107,5.463797
1.44,0.7362333000000001,2.7780252,3.7426863000000004,4.5699885,5.4451584
1.45,0.7422327,2.8190009000000003,3.7260926999999997,4.7380211,5.6474655
1.46,0.7482222,2.8036998,3.8605937,4.8144781000000005,5.6270313
1.47,0.7542215999999999,2.844567,3.8427542999999997,4.7948274,5.834901299999999
1.48,0.775579,2.9440894,3.9807433,4.8712455,5.8126167
1.49,0.7662303,2.9865094,4.0416564,4.9484259,5.9068053
1.5,0.7878303,3.0292828999999997,4.0218849,5.0263389,6.1231856
1.51,0.778239,3.01158,4.0827006,5.208135700000001,6.221196
1.52,0.8000917000000001,3.1159308,4.2277994,5.289168,6.320176
1.53,0.7902575999999999,3.0972249,4.206015,5.2646121,6.2929845
1.54,0.7962768,3.1405868999999997,4.3547463,5.4535354,6.3919053
1.55,0.802296,3.2486347,4.3315668,5.427249300000001,6.6229336000000005
1.56,0.8083053,3.29361,4.3951941,5.6210136,6.7258021
1.57,0.8307856,3.2728311000000003,4.5494743,5.5929456,6.6944196
1.58,0.8203536,3.3176385,4.6155384,5.7916329,6.7971816
1.59,0.8263826999999999,3.4307478000000002,4.5894816,5.8781191999999995,6.9009237
1.6,0.8324018999999999,3.4772078,4.655385900000001,5.9653933,7.005635999999999
1.61,0.8384409,3.4542485999999997,4.8172556,5.933604600000001,7.1113284
1.62,0.8444699999999999,3.5005212,4.885662900000001,6.1423453,7.2180009
1.63,0.8676809,3.54717,4.856553900000001,6.1086069,7.4736465
1.64,0.8738419000000001,3.6667848,5.0242652,6.322488900000001,7.584494
1.65,0.8800029,3.7151234,5.094460199999999,6.2867574,7.6963515
1.66,0.8861639,3.7638458,5.165241,6.5058544000000005,7.809219000000001
1.67,0.8923249,3.812952,5.2366278,6.598754199999999,7.9231066000000006
1.68,0.8806941,3.7859481,5.3086105,6.692462,7.8788556000000005
1.69,0.904657,3.8348343,5.274640799999999,6.652602,7.9924977
1.7,0.8927919,3.9625532,5.3463861,6.8823419999999995,8.2709405
